#{"t_start": 1780448397.6983204, "env_id": "CarRacing-v3"}
r,l,t
-26.315789,1000,1699.390016
-17.293233,1000,1710.442196
-27.745665,1000,1722.077922
49.090909,1000,1732.943348
-18.439716,1000,1744.007609
-18.088737,1000,1755.504659
-14.893617,1000,1766.714006
61.417323,1000,1777.625472
-31.952663,1000,1789.133936
-25.925926,1000,1800.486562
-41.176471,1000,1812.196716
-8.0,1000,1823.139906
78.947368,1000,1834.813281
-10.0,1000,1846.448117
-26.751592,1000,1858.26217
59.322034,1000,1869.564039
-36.241611,1000,1881.697221
-11.262799,1000,1893.326577
-43.143813,1000,1904.793094
-23.84106,1000,1915.825377
-11.392405,1000,1927.580015
-40.972222,1000,1939.712803
-12.087912,1000,1951.023321
58.301158,1000,1961.513989
-24.398625,1000,1972.98321
-10.652921,1000,1984.179346
-23.076923,1000,1995.246757
-11.971831,1000,2006.455973
-14.965986,1000,2018.219943
75.510204,1000,2028.740568
-2.439024,1000,2040.422064
-8.77193,1000,2051.6641
77.935943,1000,2062.277773
-2.173913,1000,2073.303301
-29.328622,1000,2084.21363
495.744681,1000,2095.039402
71.875,1000,2105.800936
430.769231,1000,2116.602009
127.272727,1000,2127.216808
276.30662,1000,2137.998365
62.420382,1000,2148.92359
51.515152,1000,2159.656896
155.882353,1000,2171.035981
-17.525773,1000,2182.068078
46.428571,1000,2193.376297
155.131965,1000,2205.589712
252.583587,1000,2217.483872
24.600639,1000,2228.859527
128.782288,1000,2239.789721
325.465839,1000,2251.422238
326.751592,1000,2262.488639
82.156134,1000,2273.268062
72.794118,1000,2283.933132
126.11465,1000,2295.158354
-20.245399,1000,2306.722277
81.506849,1000,2317.49204
98.717949,1000,2328.5571
63.043478,1000,2339.083525
-2.985075,1000,2350.000135
128.013029,1000,2361.093688
-32.907348,1000,2372.450782
-12.587413,1000,2383.566144
-22.558923,1000,2394.636424
74.377224,1000,2405.806115
-12.0,1000,2417.39201
-11.864407,1000,2429.121581
-13.333333,1000,2439.504511
-32.692308,1000,2451.342728
4.026846,1000,2463.194642
-36.666667,1000,2473.822851
13.793103,1000,2485.823614
-26.517572,1000,2497.343037
10.0,1000,2508.368385
-14.728682,1000,2519.425378
-16.083916,1000,2530.753517
132.727273,1000,2541.770167
-8.81459,1000,2552.808203
22.516556,1000,2563.712774
-16.38796,1000,2574.849818
-21.501706,1000,2585.805645
90.140845,1000,2596.760952
-2.255639,1000,2608.030316
-32.862191,1000,2619.134309
-10.394265,1000,2630.751402
-18.644068,1000,2642.140305
2.661597,1000,2653.480125
-11.764706,1000,2665.341706
76.870748,1000,2676.755997
0.371747,1000,2688.39939
42.394822,1000,2700.159019
22.44898,1000,2711.126814
64.473684,1000,2722.440422
93.650794,1000,2734.146529
203.333333,1000,2745.592764
125.165563,1000,2756.603098
248.148148,1000,2767.166861
224.232082,1000,2778.111628
495.238095,1000,2789.130103
94.029851,1000,2800.031436
363.022508,1000,2811.285548
435.971223,1000,2822.221332
251.449275,1000,2832.862437
623.776224,1000,2843.697065
27.60566,574,2849.241699
408.960573,1000,2859.997082
84.848485,1000,2870.892909
197.385621,1000,2881.649721
168.382353,1000,2892.49685
92.771084,1000,2902.875447
469.131833,1000,2913.826763
505.166052,1000,2925.215045
246.875,1000,2936.708056
-12.280702,1000,2948.054306
697.87234,1000,2958.873774
443.554007,1000,2969.635639
156.704981,1000,2980.005358
252.941176,1000,2991.386729
635.915493,1000,3002.539201
-64.157706,1000,3013.389492
222.368421,1000,3025.350893
39.194139,1000,3037.420679
207.210031,1000,3049.267235
303.333333,1000,3060.299159
429.010239,1000,3071.648312
581.818182,1000,3083.179627
244.827586,1000,3093.95242
73.633441,1000,3105.490933
13.496933,1000,3117.773549
18.811881,1000,3129.589163
324.561404,1000,3141.296215
44.444444,1000,3152.841926
247.51773,1000,3164.892307
207.142857,1000,3177.040244
133.009709,1000,3187.375433
208.411215,1000,3199.323796
134.875445,1000,3211.275828
50.326797,1000,3223.09194
119.42446,1000,3234.079368
115.827338,1000,3245.428921
57.534247,1000,3256.744565
78.694158,1000,3267.650061
116.027875,1000,3278.552799
147.311828,1000,3289.513216
405.084746,1000,3300.244601
217.073171,1000,3311.845069
340.514469,1000,3323.672262
102.531646,1000,3335.271224
206.930693,1000,3347.053906
100.0,1000,3358.575892
249.823322,1000,3370.02932
-33.774834,1000,3381.937339
159.036145,1000,3393.325324
-42.307692,1000,3404.368934
